Product Name,Prices
"REDMI Note 13 Pro+ 5G (Fusion Black, 256 GB)","₹29,499"
"REDMI Note 13 Pro+ 5G (Fusion Purple, 256 GB)","₹29,499"
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹49,999"
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹49,999"
"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹49,999"
"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)","₹44,999"
"Xiaomi 14 CIVI (Aqua Blue, 512 GB)","₹48,999"
"REDMI Note 13 Pro+ 5G (Fusion White, 256 GB)","₹29,499"
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹44,999"
"OPPO Find N3 Flip (Cream Gold, 256 GB)","₹49,999"
"OnePlus 12R (Iron Grey, 256 GB)","₹41,942"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 256 GB)","₹28,355"
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹48,999"
"vivo V40 Pro 5G (Titanium Grey, 256 GB)","₹49,999"
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹45,999"
"vivo V40 Pro 5G (Ganges Blue, 256 GB)","₹49,999"
"Xiaomi 14 CIVI (Cruise Blue, 512 GB)","₹47,999"
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹45,999"
"OnePlus 12R (Cool Blue, 256 GB)","₹43,199"
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹48,999"
"OPPO Find N3 Flip (Sleek Black, 256 GB)","₹49,999"
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹38,990"
"vivo V30 Pro 5G (Classic Black, 256 GB)","₹41,999"
"vivo V30 Pro 5G (Classic Black, 512 GB)","₹46,999"
